isolate	haplotype	interest	ident	contain
17MNBT-21	hap5	N	99.31	86.45
17MNBT-23	hap5	N	99.29	86.02
17MNBT-24	hap5	N	99.32	86.65
17MNBT-2	hap5	N	99.32	86.72
17MNBT-3	hap5	N	99.34	86.95
17MNBT-4	hap5	N	99.31	86.41
17MNBT-5	hap5	N	99.34	87.01
17MNBT-6	hap5	N	99.30	86.25
17MNBT-7	hap5	N	99.31	86.46
17MNBT-8	hap5	N	99.30	86.20
17MNBT-9	hap5	N	99.31	86.42
17MS65-1	hap5	N	99.30	86.21
17MS65-3	hap5	N	99.30	86.27
17SD126-1	hap5	N	99.30	86.27
17SD126-2	hap5	N	99.34	87.01
17SD126-3	hap5	N	99.29	86.04
17SD129-3	hap5	N	99.32	86.60
17SD132-1	hap5	N	99.28	85.91
17SD133-2	hap5	N	99.29	86.06
17SD80-2	hap5	N	99.38	87.85
17TX1-2	hap5	N	99.30	86.27
17TX62-3	hap5	N	99.31	86.55
17TX9-2	hap5	N	99.36	87.40
18MNBT-37	hap5	N	99.37	87.58
18MNBT-38	hap5	N	99.31	86.44
18MNBT-39	hap5	N	99.28	85.95
18MNBT-41	hap5	N	99.32	86.57
18MNBT-42	hap5	N	99.28	85.86
18MNBT-43	hap5	N	99.40	88.21
18MNBT-44	hap5	N	99.30	86.30
18MNBT-45	hap5	N	99.48	89.69
18MNBT-46	hap5	N	99.31	86.41
18MNBT-47	hap5	N	99.32	86.61
18MNBT-49	hap5	N	99.29	86.13
18MNBT-51	hap5	N	99.30	86.21
18MNBT-52	hap5	N	99.35	87.26
18MNBT-53	hap5	N	99.31	86.47
18MNBT-54	hap5	N	99.31	86.55
18MNBT-55	hap5	N	99.29	86.11
18MNBT-56	hap5	N	99.27	85.83
18MNBT-57	hap5	N	99.30	86.21
18MNBT-58	hap5	N	99.30	86.27
90GA16-1	hap5	N	99.71	94.08
90LA38-1	hap5	N	99.71	94.14
90MN137-1	hap5	N	99.33	86.81
90MN13B-3	hap5	N	99.34	87.04
90MN148-1	hap5	N	99.34	87.08
90MN17B-1	hap5	N	99.38	87.75
90MN1B-1	hap5	N	99.35	87.19
90MN2B-1	hap5	N	99.35	87.17
90MN5B-1	hap5	N	99.77	95.35
90MN8B-2	hap5	N	99.32	86.73
90MN9B-4	hap5	N	99.70	93.93
90PA162-1	hap5	N	99.35	87.26
90SD164-1	hap5	N	99.71	94.09
90SD171-1	hap5	N	99.37	87.62
90SD172-1	hap5	N	99.71	94.17
90TX45-1	hap5	N	99.30	86.31
90TX47-1	hap5	N	99.34	86.97
90TX70-1	hap5	N	99.73	94.41
90WI131-1	hap5	N	99.35	87.27
90WI132-1	hap5	N	99.34	87.06
PCA16-15-1-1	hap5	N	99.77	95.30
Pca2016-10-1	hap5	N	99.75	94.81
Pca2016-1-1	hap5	N	99.75	94.89
Pca2016-13-1	hap5	N	99.76	95.03
Pca2016-15-1	hap5	N	99.74	94.67
Pca2016-16-1	hap5	N	99.75	94.86
Pca2016-2-1	hap5	N	99.75	94.88
Pca2016-3-2	hap5	N	99.75	94.84
Pca2016-6-2	hap5	N	99.75	94.90
Pca2016-8-1	hap5	N	99.75	94.90
Pca2016-9-2	hap5	N	99.75	94.87
Pca43-1	hap5	N	99.75	94.96
Pca56-3	hap5	N	99.75	94.90
Pca57-4	hap5	N	99.75	94.90
Pca58-3	hap5	N	99.75	94.90
Pca59-6	hap5	N	99.75	94.88
Pca60-7	hap5	N	99.75	94.91
Pca61-8	hap5	N	99.75	94.86
Pca62-9	hap5	N	99.75	94.93
Pca65-12	hap5	N	99.76	95.00
Pca70-17	hap5	N	99.75	94.87
Pca70-2	hap5	N	99.75	94.87
Pca73-20	hap5	N	99.75	94.88
Pca77-46	hap5	N	99.83	96.40
PCA84-1-1_1	hap5	N	99.75	94.90
PCA84-1-1	hap5	N	99.75	94.89
Pca85-1	hap5	N	99.75	94.86
Pca85-26	hap5	N	99.75	94.87
UVPca10-98	hap5	N	99.75	94.87
UVPca14-98	hap5	N	99.75	94.82
UVPca1-98	hap5	N	99.75	94.89
UVPca8-98	hap5	N	99.75	94.91
22WA53	hap5	N	99.81	96.05
22WA54	hap5	N	99.81	96.00
22WA29	hap5	N	99.81	96.18
22SA11	hap5	N	99.81	96.04
22SA10	hap5	N	99.82	96.20
22WA45	hap5	N	99.90	97.96
22WA46	hap5	N	99.87	97.28
22WA47	hap5	N	99.82	96.35
22WA55	hap5	N	99.87	97.34
22WA23	hap5	N	99.80	95.93
22WA32	hap5	N	99.92	98.40
22SA92-02	hap5	N	99.76	95.05
23WA16	hap5	N	99.85	96.98
23WA44	hap5	N	99.81	95.99
Pca203	hap6	N	99.79	95.62
20NSW19	hap6	N	99.28	85.87
20NSW20	hap6	N	99.26	85.48
20ACT27	hap6	N	99.31	86.51
21ACT106	hap6	N	99.27	85.73
21ACT112	hap6	N	99.27	85.67
21NSW141	hap6	N	99.27	85.81
21WA138	hap6	N	99.28	85.92
22SA12	hap6	N	99.31	86.53
22WA27	hap6	N	99.31	86.38
22WA22	hap6	N	99.32	86.58
22WA43	hap6	N	99.38	87.76
22VIC01	hap6	N	99.34	87.10
22NSW121	hap6	N	99.30	86.32
22NSW75	hap6	N	99.28	85.90
22NSW76	hap6	N	99.66	93.08
22NSW84	hap6	N	99.32	86.62
22VIC49	hap6	N	99.76	95.08
22VIC67	hap6	N	99.35	87.22
22VIC71	hap6	N	99.33	86.78
22VIC74	hap6	N	99.59	91.65
22WA18	hap6	N	99.28	85.98
22WA19	hap6	N	99.28	85.87
22WA26	hap6	N	99.30	86.32
22WA62	hap6	N	99.31	86.47
22WA63	hap6	N	99.28	86.00
22WA65	hap6	N	99.33	86.81
22VIC68	hap6	N	99.27	85.78
22VIC69	hap6	N	99.28	85.83
22VIC70	hap6	N	99.27	85.82
22VIC72	hap6	N	99.27	85.82
22NSW77	hap6	N	99.36	87.34
22NSW78	hap6	N	99.31	86.50
22NSW82	hap6	N	99.71	94.09
22NSW95	hap6	N	99.27	85.78
22NSW96	hap6	N	99.29	86.12
22NSW98	hap6	N	99.27	85.69
22NSW99	hap6	N	99.28	85.97
22NSW100	hap6	N	99.28	85.86
22NSW104	hap6	N	99.69	93.75
22SA131	hap6	N	99.36	87.41
23WA01	hap6	N	99.37	87.56
23VIC03	hap6	N	99.33	86.74
23WA17	hap6	N	99.35	87.19
23SA22	hap6	N	99.47	89.46
23NSW25	hap6	N	99.31	86.41
23SA52	hap6	N	99.33	86.79
23VIC53	hap6	N	99.33	86.85
23VIC59	hap6	N	99.32	86.67
20ACT14	hap6	1	100.00	99.96
20ACT25	hap6	1	100.00	99.96
20QLD11	hap6	1	100.00	99.98
20QLD86	hap6	1	100.00	99.98
20WA97	hap6	1	100.00	99.91
21NSW100	hap6	1	100.00	99.90
21NSW102	hap6	1	99.99	99.86
21QLD135	hap6	1	100.00	99.92
22NSW08	hap6	1	99.99	99.88
22NSW79	hap6	1	99.99	99.89
22QLD110	hap6	1	99.99	99.88
22QLD118	hap6	1	100.00	99.98
22NSW103	hap6	1	100.00	99.91
22NSW107	hap6	1	100.00	99.91
22NSW123	hap6	1	99.99	99.88
22NSW97	hap6	1	99.99	99.89
22QLD114	hap6	1	99.99	99.89
22QLD116	hap6	1	100.00	99.95
22VIC117	hap6	1	100.00	99.93
22SA132	hap6	1	100.00	99.91
22VIC126	hap6	1	100.00	99.94
22VIC128	hap6	1	99.99	99.87
22NSW80	hap6	1	100.00	99.91
22NSW81	hap6	1	100.00	99.92
22NSW101	hap6	1	100.00	99.96
22NSW102	hap6	1	100.00	99.97
22NSW105	hap6	1	99.99	99.87
22NSW106	hap6	1	99.99	99.88
22NSW108	hap6	1	100.00	99.97
22NSW109	hap6	1	99.99	99.88
22VIC130	hap6	1	99.99	99.87
23WA07	hap6	1	100.00	99.98
23VIC09	hap6	1	99.99	99.88
23WA20	hap6	1	100.00	99.98
23WA43	hap6	1	100.00	99.98
20ACT40	hap6	2	99.56	91.23
20ACT80	hap6	2	99.56	91.25
21ACT105	hap6	2	99.63	92.49
21ACT116	hap6	2	99.59	91.76
21NSW142	hap6	2	99.57	91.28
23NSW13	hap6	2	99.61	92.16
22WA50	hap6	3	99.30	86.33
22WA51	hap6	3	99.26	85.60
22QLD111	hap6	3	99.52	90.37
22QLD112	hap6	3	99.25	85.42
TW-19061	hap6	4	99.99	99.85
TW-NTU01	hap6	4	99.99	99.86
TW-NTU03	hap6	4	99.99	99.85
TW-NTU04	hap6	4	99.99	99.85
TW-SW01	hap6	4	99.99	99.85
20WA71	hap6	N	99.26	85.55
20WA72	hap6	N	99.22	84.90
20WA93	hap6	N	99.20	84.40
20WA95	hap6	N	99.24	85.18
21WA136	hap6	N	99.22	84.76
21WA137	hap6	N	99.21	84.67
22WA25	hap6	N	99.28	85.96
22WA34	hap6	N	99.32	86.71
23SA24	hap6	N	99.31	86.44
23SA31	hap6	N	99.29	86.10
90AR100-1	hap6	N	99.65	92.86
90MN14B-1	hap6	N	99.67	93.27
90MN7B-1	hap6	N	99.66	93.15
90KS101-1	hap6	N	99.67	93.28
90MN153-1	hap6	N	99.69	93.61
90MN3B-1	hap6	N	99.68	93.44
90TX52-1	hap6	N	99.69	93.76
90TX58-1	hap6	N	99.67	93.30
17FL16-1	hap6	N	99.67	93.31
17LA50-2	hap6	N	99.82	96.25
17LA50-3	hap6	N	99.67	93.33
17TX12-3	hap6	N	99.67	93.36
17TX15-3	hap6	N	99.68	93.56
17TX44-3	hap6	N	99.68	93.43
17TX59-2	hap6	N	99.71	94.01
18MNBT-34	hap6	N	99.63	92.52
18MNBT-36	hap6	N	99.66	93.13
18MNBT-50	hap6	N	99.64	92.72
20WA73	hap6	N	99.27	85.78
20WA94	hap6	N	99.28	85.93
22WA31	hap6	N	99.32	86.70
22WA30	hap6	N	99.30	86.26
22WA09	hap6	N	99.36	87.40
22WA86	hap6	N	99.32	86.70
22WA88	hap6	N	99.38	87.72
22WA89	hap6	N	99.36	87.42
22WA64	hap6	N	99.29	86.11
23VIC51	hap6	N	99.69	93.75
23NSW54	hap6	N	99.33	86.76
21WA134	hap6	N	99.33	86.87
22WA15	hap6	N	99.27	85.72
22WA28	hap6	N	99.25	85.31
22WA33	hap6	N	99.31	86.55
22WA56	hap6	N	99.24	85.28
22WA57	hap6	N	99.25	85.38
22WA58	hap6	N	99.24	85.21
20WA89	hap6	N	99.28	85.89
21WA139	hap6	N	99.21	84.71
12NC29	hap6	N	99.68	93.46
12SD80	hap6	N	99.71	94.12
15FL1-2	hap6	N	99.67	93.35
15FL1-4	hap6	N	99.63	92.54
15MN10-4	hap6	N	99.62	92.37
15MN10-5	hap6	N	99.68	93.50
15MN13-4	hap6	N	99.62	92.23
15MN14-4	hap6	N	99.67	93.26
15MN16-3	hap6	N	99.63	92.54
15MN17-5	hap6	N	99.67	93.37
15MN18-1	hap6	N	99.65	92.92
15MN18-3	hap6	N	99.63	92.58
15MN23-1	hap6	N	99.62	92.26
15MN24-1	hap6	N	99.64	92.76
15MN25-3	hap6	N	99.65	92.87
15MN27-3	hap6	N	99.61	92.07
15MS7-1	hap6	N	99.66	93.01
15ND19-5	hap6	N	99.61	92.09
15ND20-3	hap6	N	99.64	92.80
15ND20-4	hap6	N	99.61	92.13
15NE8-4	hap6	N	99.65	92.92
15NE8-5	hap6	N	99.66	93.12
15NE9-1	hap6	N	99.67	93.39
15NE9-3	hap6	N	99.68	93.42
15OH12-3	hap6	N	99.67	93.22
15SD11-1	hap6	N	99.64	92.74
15SD11-2	hap6	N	99.65	92.87
15SD30-1	hap6	N	99.67	93.33
15SD30-3	hap6	N	99.67	93.38
15TX3-1	hap6	N	99.68	93.41
16IL75-3	hap6	N	99.71	93.99
16MN100-2	hap6	N	99.61	92.17
16MN101-1	hap6	N	99.63	92.46
16MN102-1	hap6	N	99.63	92.48
16MN102-3	hap6	N	99.63	92.44
16MN105-1	hap6	N	99.62	92.23
16MN106-3	hap6	N	99.61	92.17
16MN107-1	hap6	N	99.61	92.11
16MN107-3	hap6	N	99.61	92.09
16MN110-1	hap6	N	99.62	92.37
16MN110-2	hap6	N	99.63	92.48
16MN118-2	hap6	N	99.63	92.55
16MN119-1	hap6	N	99.67	93.27
16MN121-2	hap6	N	99.60	91.94
16MN84-1	hap6	N	99.64	92.79
16MN85-1	hap6	N	99.63	92.53
16MN88-3	hap6	N	99.64	92.66
16MN90-2	hap6	N	99.65	92.97
16MN93-1	hap6	N	99.69	93.63
16MN93-2	hap6	N	99.63	92.54
16MN94-1	hap6	N	99.67	93.25
16MN94-2	hap6	N	99.68	93.46
16MN98-2	hap6	N	99.62	92.36
16MN98-3	hap6	N	99.60	91.85
16MN99-1	hap6	N	99.64	92.71
16MN99-2	hap6	N	99.62	92.22
16MN99-3	hap6	N	99.62	92.31
16SD69-1	hap6	N	99.60	92.01
16SD74-2	hap6	N	99.64	92.66
16WI76-1	hap6	N	99.63	92.54
17AR69-3	hap6	N	99.67	93.26
17FL20-1	hap6	N	99.68	93.40
17FL20-2	hap6	N	99.68	93.41
17FL20-3	hap6	N	99.67	93.34
17FL21-2	hap6	N	99.64	92.65
17FL22-2	hap6	N	99.64	92.66
17FL23-1	hap6	N	99.64	92.64
17FL23-2	hap6	N	99.63	92.60
17FL26-3	hap6	N	99.63	92.58
17IA105-1	hap6	N	99.70	93.96
17IA106-3	hap6	N	99.62	92.37
17IA108-2	hap6	N	99.61	92.22
17IA111-3	hap6	N	99.62	92.26
17IA116-1	hap6	N	99.63	92.60
17IL75-3	hap6	N	99.65	92.98
17IL76-1	hap6	N	99.63	92.52
17LA48-2	hap6	N	99.67	93.38
17LA49-3	hap6	N	99.65	92.95
17LA67-2	hap6	N	99.68	93.41
17MN145-1	hap6	N	99.65	92.84
17MN145-2	hap6	N	99.64	92.69
17MN146-1	hap6	N	99.65	92.85
17MN146-2	hap6	N	99.65	92.82
17MN150-1	hap6	N	99.65	92.89
17MN150-2	hap6	N	99.65	92.85
17MN78-2	hap6	N	99.64	92.63
17MNBT-10	hap6	N	99.64	92.80
17MNBT-11	hap6	N	99.63	92.55
17MNBT-12	hap6	N	99.62	92.29
17MNBT-13	hap6	N	99.63	92.56
17MNBT-14	hap6	N	99.62	92.28
17MNBT-15	hap6	N	99.62	92.28
17MNBT-16	hap6	N	99.63	92.56
17MNBT-17	hap6	N	99.65	92.92
17MNBT-18	hap6	N	99.62	92.30
17MNBT-19	hap6	N	99.63	92.46
17MNBT-20	hap6	N	99.68	93.57
17MNBT-21	hap6	N	99.65	92.85
17MNBT-23	hap6	N	99.61	92.09
17MNBT-24	hap6	N	99.62	92.27
17MNBT-2	hap6	N	99.62	92.37
17MNBT-3	hap6	N	99.64	92.69
17MNBT-4	hap6	N	99.61	92.14
17MNBT-5	hap6	N	99.65	92.85
17MNBT-6	hap6	N	99.60	91.86
17MNBT-7	hap6	N	99.66	93.06
17MNBT-8	hap6	N	99.62	92.27
17MNBT-9	hap6	N	99.64	92.74
17MS65-1	hap6	N	99.63	92.50
17MS65-3	hap6	N	99.63	92.48
17SD126-1	hap6	N	99.64	92.71
17SD126-2	hap6	N	99.64	92.76
17SD126-3	hap6	N	99.62	92.39
17SD129-3	hap6	N	99.62	92.39
17SD132-1	hap6	N	99.65	92.90
17SD133-2	hap6	N	99.65	92.86
17SD80-2	hap6	N	99.71	94.11
17TX1-2	hap6	N	99.63	92.51
17TX62-3	hap6	N	99.66	93.14
17TX9-2	hap6	N	99.69	93.73
18MNBT-37	hap6	N	99.67	93.36
18MNBT-38	hap6	N	99.62	92.28
18MNBT-39	hap6	N	99.62	92.28
18MNBT-41	hap6	N	99.64	92.72
18MNBT-42	hap6	N	99.64	92.67
18MNBT-43	hap6	N	99.74	94.60
18MNBT-44	hap6	N	99.65	92.83
18MNBT-45	hap6	N	99.81	96.15
18MNBT-46	hap6	N	99.65	92.94
18MNBT-47	hap6	N	99.65	92.81
18MNBT-49	hap6	N	99.66	93.02
18MNBT-51	hap6	N	99.62	92.38
18MNBT-52	hap6	N	99.68	93.48
18MNBT-53	hap6	N	99.65	92.88
18MNBT-54	hap6	N	99.63	92.50
18MNBT-55	hap6	N	99.64	92.76
18MNBT-56	hap6	N	99.61	92.18
18MNBT-57	hap6	N	99.64	92.72
18MNBT-58	hap6	N	99.62	92.28
90GA16-1	hap6	N	99.68	93.40
90LA38-1	hap6	N	99.64	92.70
90MN137-1	hap6	N	99.70	93.85
90MN13B-3	hap6	N	99.69	93.61
90MN148-1	hap6	N	99.69	93.63
90MN17B-1	hap6	N	99.69	93.72
90MN1B-1	hap6	N	99.65	92.83
90MN2B-1	hap6	N	99.64	92.76
90MN5B-1	hap6	N	99.28	85.83
90MN8B-2	hap6	N	99.68	93.43
90MN9B-4	hap6	N	99.67	93.26
90PA162-1	hap6	N	99.69	93.68
90SD164-1	hap6	N	99.64	92.73
90SD171-1	hap6	N	99.68	93.45
90SD172-1	hap6	N	99.65	92.91
90TX45-1	hap6	N	99.60	92.02
90TX47-1	hap6	N	99.68	93.57
90TX70-1	hap6	N	99.73	94.44
90WI131-1	hap6	N	99.67	93.30
90WI132-1	hap6	N	99.68	93.44
PCA16-15-1-1	hap6	N	99.30	86.20
Pca2016-10-1	hap6	N	99.24	85.14
Pca2016-1-1	hap6	N	99.24	85.25
Pca2016-13-1	hap6	N	99.28	85.89
Pca2016-15-1	hap6	N	99.27	85.69
Pca2016-16-1	hap6	N	99.24	85.15
Pca2016-2-1	hap6	N	99.24	85.22
Pca2016-3-2	hap6	N	99.24	85.11
Pca2016-6-2	hap6	N	99.24	85.21
Pca2016-8-1	hap6	N	99.24	85.28
Pca2016-9-2	hap6	N	99.24	85.19
Pca43-1	hap6	N	99.25	85.37
Pca56-3	hap6	N	99.25	85.37
Pca57-4	hap6	N	99.24	85.22
Pca58-3	hap6	N	99.25	85.31
Pca59-6	hap6	N	99.24	85.22
