Isolate	Lineage	hap3_ident	hap3_shared	hap4_ident	hap4_shared	hap25_ident	hap25_shared	hap26_ident	hap26_shared
22QLD116	L1	99.84	96.62	99.84	96.62	99.84	96.61	99.94	98.66
22QLD118	L1	99.72	94.20	99.72	94.29	99.72	94.37	99.89	97.79
22SA132	L1	99.71	94.04	99.71	94.09	99.71	94.07	99.88	97.58
22VIC117	L1	99.89	97.72	99.89	97.79	99.89	97.76	99.95	99.02
22VIC126	L1	99.91	98.07	99.91	98.08	99.92	98.30	99.96	99.22
22VIC128	L1	99.72	94.26	99.72	94.38	99.72	94.33	99.88	97.52
22VIC130	L1	99.68	93.40	99.68	93.49	99.68	93.43	99.87	97.34
23VIC09	L1	99.72	94.36	99.73	94.45	99.73	94.42	99.88	97.60
23WA07	L1	99.81	96.09	99.81	96.09	99.81	96.16	99.91	98.13
23WA20	L1	99.72	94.35	99.73	94.41	99.73	94.41	99.89	97.67
23WA43	L1	99.77	95.22	99.77	95.18	99.79	95.60	99.91	98.23
20ACT40	L2	99.67	93.21	99.67	93.26	99.67	93.25	99.87	97.36
20ACT80	L2	99.67	93.28	99.67	93.29	99.67	93.33	99.87	97.35
21ACT105	L2	99.89	97.76	99.89	97.80	99.90	97.83	99.91	98.21
21ACT116	L2	99.73	94.49	99.73	94.55	99.73	94.47	99.89	97.81
21NSW142	L2	99.67	93.26	99.67	93.31	99.67	93.31	99.87	97.36
23NSW13	L2	99.71	94.07	99.71	94.09	99.71	94.11	99.89	97.71
22QLD111	L3	99.71	94.12	99.71	94.16	99.71	94.13	100.00	99.91
22QLD112	L3	99.64	92.73	99.65	92.86	99.64	92.76	99.99	99.88
22WA50	L3	99.75	94.86	99.75	94.94	99.75	94.87	100.00	99.92
22WA51	L3	99.71	94.10	99.71	94.18	99.71	94.05	100.00	99.91
22WA45	L4	99.87	97.25	99.92	98.33	99.89	97.68	99.91	98.12
22WA23	L5	99.81	96.07	99.82	96.19	99.83	96.43	99.81	96.11
22WA29	L5	99.79	95.73	99.80	95.96	99.81	96.12	99.82	96.28
22WA53	L5	99.81	96.01	99.82	96.19	99.82	96.35	99.82	96.22
22WA54	L5	99.79	95.74	99.80	95.89	99.81	96.10	99.81	96.17
23WA44	L5	99.79	95.73	99.80	95.89	99.81	96.06	99.81	96.16
22WA47	L6	99.77	95.21	99.78	95.49	99.77	95.35	99.84	96.75
22WA32	L7	99.86	97.18	99.90	97.99	99.86	97.16	99.91	98.17
22WA46	L8	99.85	96.96	99.88	97.56	99.85	96.90	99.89	97.66
20WA71	L9	99.84	96.70	99.85	96.81	99.84	96.77	99.85	96.81
20WA72	L9	99.81	96.11	99.81	96.01	99.81	96.10	99.81	96.16
20WA93	L9	99.80	95.86	99.79	95.78	99.80	95.80	99.80	95.85
20WA95	L9	99.81	96.03	99.81	95.99	99.81	95.99	99.81	96.07
21WA136	L9	99.80	95.96	99.80	95.90	99.80	95.91	99.80	95.97
21WA137	L9	99.80	95.93	99.80	95.87	99.80	95.88	99.80	95.94
22WA25	L9	99.84	96.74	99.84	96.70	99.85	96.88	99.85	96.96
22WA34	L9	99.91	98.16	99.91	98.11	99.92	98.37	99.92	98.43
23SA24	L9	99.83	96.42	99.82	96.35	99.82	96.35	99.83	96.44
23SA31	L9	99.84	96.72	99.84	96.69	99.84	96.67	99.83	96.42
22WA55	L10	99.87	97.27	99.86	97.02	99.87	97.31	99.88	97.53
20WA73	L11	99.87	97.37	99.85	96.91	100.00	99.98	100.00	99.98
20WA94	L11	99.89	97.74	99.87	97.28	100.00	99.98	100.00	99.97
22WA09	L11	99.90	97.82	99.88	97.52	100.00	99.96	100.00	99.98
22WA30	L11	99.88	97.43	99.85	96.94	100.00	99.98	100.00	99.98
22WA31	L11	99.90	97.88	99.88	97.56	100.00	99.98	100.00	99.98
22WA64	L11	99.88	97.53	99.86	97.05	100.00	99.98	100.00	99.97
22WA86	L11	99.89	97.67	99.87	97.31	100.00	99.98	100.00	99.97
22WA88	L11	99.94	98.69	99.93	98.44	100.00	99.98	100.00	99.98
22WA89	L11	99.89	97.82	99.88	97.46	100.00	99.98	100.00	99.98
23NSW54	L11	99.88	97.53	99.86	97.17	100.00	99.98	100.00	99.98
23VIC51	L11	99.90	98.02	99.89	97.65	100.00	99.98	100.00	99.98
23WA16	L12	99.83	96.41	99.83	96.51	99.83	96.57	99.85	96.88
21WA139	L13	99.78	95.53	99.79	95.58	99.78	95.42	99.81	96.15
20WA89	L14	99.85	96.85	99.88	97.59	99.88	97.43	99.86	97.19
22SA10	L15	99.82	96.33	99.84	96.74	99.85	96.82	99.84	96.70
22SA11	L15	99.83	96.42	99.85	96.88	99.84	96.79	99.83	96.45
21WA134	L16	99.93	98.44	99.93	98.48	99.92	98.30	99.84	96.75
22WA15	L16	99.82	96.35	99.83	96.50	99.81	96.05	99.79	95.76
22WA28	L16	99.82	96.37	99.83	96.52	99.81	96.09	99.80	95.80
22WA33	L16	99.88	97.43	99.88	97.53	99.86	97.19	99.86	97.05
22WA56	L16	99.81	96.17	99.82	96.31	99.80	95.83	99.78	95.58
22WA57	L16	99.82	96.34	99.83	96.48	99.81	96.04	99.81	96.01
22WA58	L16	99.82	96.33	99.83	96.50	99.81	96.01	99.78	95.54
22SA92-02	L17	99.84	96.66	99.81	96.07	99.84	96.75	99.78	95.39
20ACT27	L18	100.00	99.92	100.00	99.95	100.00	99.92	99.74	94.71
20NSW19	L18	100.00	99.97	100.00	99.97	100.00	99.95	99.69	93.61
20NSW20	L18	100.00	99.94	100.00	99.93	100.00	99.94	99.68	93.41
21ACT106	L18	100.00	99.95	100.00	99.95	100.00	99.95	99.68	93.54
21ACT112	L18	100.00	99.95	100.00	99.94	100.00	99.94	99.68	93.54
21NSW141	L18	100.00	99.94	100.00	99.94	100.00	99.94	99.69	93.64
21WA138	L18	100.00	99.95	100.00	99.93	100.00	99.95	99.69	93.70
22NSW100	L18	100.00	99.96	100.00	99.95	100.00	99.95	99.69	93.62
22NSW104	L18	100.00	99.96	100.00	99.96	100.00	99.97	99.83	96.56
22NSW121	L18	100.00	99.96	100.00	99.95	100.00	99.96	99.70	93.80
22NSW75	L18	100.00	99.96	100.00	99.95	100.00	99.97	99.74	94.69
22NSW76	L18	100.00	99.97	100.00	99.96	100.00	99.97	99.86	97.02
22NSW77	L18	100.00	99.96	100.00	99.96	100.00	99.97	99.72	94.33
22NSW78	L18	100.00	99.96	100.00	99.96	100.00	99.97	99.71	94.06
22NSW82	L18	100.00	99.97	100.00	99.96	100.00	99.97	99.84	96.67
22NSW84	L18	100.00	99.97	100.00	99.97	100.00	99.98	99.71	94.07
22NSW95	L18	100.00	99.96	100.00	99.95	100.00	99.96	99.69	93.60
22NSW96	L18	100.00	99.95	100.00	99.96	100.00	99.97	99.69	93.75
22NSW98	L18	100.00	99.95	100.00	99.95	100.00	99.96	99.68	93.56
22NSW99	L18	100.00	99.96	100.00	99.96	100.00	99.97	99.69	93.70
22SA12	L18	100.00	99.96	100.00	99.95	100.00	99.96	99.75	94.82
22SA131	L18	100.00	99.96	100.00	99.96	100.00	99.97	99.72	94.30
22VIC01	L18	100.00	99.96	100.00	99.95	100.00	99.96	99.72	94.26
22VIC49	L18	100.00	99.97	100.00	99.96	100.00	99.97	99.93	98.55
22VIC67	L18	100.00	99.96	100.00	99.96	100.00	99.97	99.84	96.64
22VIC68	L18	100.00	99.95	100.00	99.92	100.00	99.95	99.69	93.63
22VIC69	L18	100.00	99.95	100.00	99.95	100.00	99.95	99.69	93.70
22VIC70	L18	100.00	99.96	100.00	99.95	100.00	99.96	99.69	93.72
22VIC71	L18	100.00	99.96	100.00	99.96	100.00	99.97	99.71	94.10
22VIC72	L18	100.00	99.96	100.00	99.96	100.00	99.97	99.71	94.04
22VIC74	L18	100.00	99.97	100.00	99.97	100.00	99.97	99.81	96.06
22WA18	L18	100.00	99.95	100.00	99.95	100.00	99.97	99.69	93.72
22WA19	L18	100.00	99.95	100.00	99.95	100.00	99.97	99.69	93.65
22WA22	L18	100.00	99.95	100.00	99.92	100.00	99.96	99.74	94.62
22WA26	L18	100.00	99.96	100.00	99.96	100.00	99.96	99.77	95.29
22WA27	L18	100.00	99.96	100.00	99.95	100.00	99.96	99.70	93.91
22WA43	L18	100.00	99.96	100.00	99.95	100.00	99.96	99.75	94.79
22WA62	L18	100.00	99.96	100.00	99.95	100.00	99.96	99.77	95.19
22WA63	L18	100.00	99.96	100.00	99.95	100.00	99.96	99.71	94.06
22WA65	L18	100.00	99.95	100.00	99.94	100.00	99.96	99.73	94.57
23NSW25	L18	100.00	99.94	100.00	99.95	100.00	99.95	99.70	93.92
23SA22	L18	100.00	99.96	100.00	99.95	100.00	99.97	99.76	95.11
23SA52	L18	100.00	99.96	100.00	99.96	100.00	99.96	99.71	94.11
23VIC03	L18	100.00	99.96	100.00	99.95	100.00	99.96	99.71	94.13
23VIC53	L18	100.00	99.97	100.00	99.96	100.00	99.97	99.74	94.61
23VIC59	L18	100.00	99.97	100.00	99.96	100.00	99.97	99.71	94.09
23WA01	L18	100.00	99.96	100.00	99.95	100.00	99.96	99.73	94.40
23WA17	L18	100.00	99.96	100.00	99.96	100.00	99.97	99.75	94.91
90KS101-1	L-1990	99.66	93.10	99.68	93.45	99.67	93.20	99.71	94.10
90MN153-1	L-1990	99.67	93.20	99.68	93.57	99.67	93.32	99.72	94.21
90MN3B-1	L-1990	99.66	93.14	99.68	93.54	99.67	93.26	99.72	94.20
90TX52-1	L-1990	99.67	93.31	99.69	93.65	99.68	93.40	99.72	94.33
90TX58-1	L-1990	99.66	93.07	99.68	93.49	99.67	93.20	99.71	94.12
17FL16-1	L-2017	99.66	93.02	99.67	93.28	99.66	93.05	99.70	93.80
17LA50-2	L-2017	99.71	94.09	99.72	94.34	99.71	94.15	99.75	94.93
17LA50-3	L-2017	99.66	93.04	99.67	93.29	99.66	93.07	99.70	93.81
17TX12-3	L-2017	99.66	93.04	99.67	93.26	99.66	93.07	99.70	93.83
17TX15-3	L-2017	99.66	93.14	99.67	93.38	99.66	93.19	99.70	93.95
17TX44-3	L-2017	99.66	93.13	99.67	93.38	99.66	93.17	99.70	93.90
17TX59-2	L-2017	99.67	93.30	99.68	93.52	99.67	93.35	99.71	94.07
TW-19061	L-TW	99.65	92.97	99.66	93.04	99.65	92.97	99.68	93.52
TW-NTU01	L-TW	99.65	92.98	99.66	93.01	99.65	93.00	99.68	93.53
TW-NTU03	L-TW	99.66	93.04	99.66	93.13	99.66	93.07	99.69	93.63
TW-NTU04	L-TW	99.65	92.96	99.66	93.01	99.65	92.98	99.68	93.52
TW-SW01	L-TW	99.65	92.99	99.66	93.04	99.65	92.99	99.68	93.58
Pca203		99.52	90.38	99.54	90.83	99.52	90.43	99.54	90.77
90AR100-1		99.64	92.65	99.65	92.94	99.64	92.76	99.67	93.24
90MN14B-1		99.32	86.74	99.34	87.01	99.32	86.73	99.33	86.91
90MN7B-1		99.33	86.77	99.34	87.03	99.33	86.76	99.34	87.08
18MNBT-34		99.31	86.39	99.32	86.60	99.31	86.40	99.32	86.60
18MNBT-36		99.33	86.77	99.34	87.03	99.32	86.66	99.34	87.01
18MNBT-50		99.30	86.33	99.33	86.81	99.30	86.34	99.31	86.52
12NC29		99.68	93.42	99.67	93.35	99.67	93.37	99.70	93.97
12SD80		99.34	86.98	99.37	87.62	99.35	87.16	99.36	87.42
15FL1-2		99.30	86.25	99.32	86.60	99.30	86.27	99.31	86.52
15FL1-4		99.32	86.61	99.34	87.00	99.32	86.67	99.34	87.08
15MN10-4		99.30	86.30	99.32	86.62	99.30	86.34	99.32	86.61
15MN10-5		99.31	86.42	99.33	86.80	99.31	86.46	99.32	86.72
15MN13-4		99.28	85.87	99.30	86.27	99.28	85.94	99.28	85.88
15MN14-4		99.29	86.14	99.31	86.40	99.30	86.24	99.30	86.29
15MN16-3		99.30	86.19	99.31	86.55	99.29	86.13	99.31	86.50
15MN17-5		99.30	86.29	99.32	86.62	99.30	86.29	99.31	86.55
15MN18-1		99.28	85.95	99.31	86.39	99.28	85.99	99.29	86.15
15MN18-3		99.28	85.91	99.31	86.42	99.28	86.00	99.30	86.31
15MN23-1		99.28	85.92	99.30	86.36	99.28	86.00	99.30	86.29
15MN24-1		99.29	86.12	99.31	86.45	99.29	86.18	99.31	86.41
15MN25-3		99.30	86.23	99.32	86.61	99.31	86.43	99.32	86.60
15MN27-3		99.27	85.68	99.29	86.17	99.28	85.90	99.28	85.85
15MS7-1		99.28	85.99	99.31	86.49	99.29	86.15	99.30	86.37
15ND19-5		99.27	85.81	99.29	86.09	99.27	85.70	99.27	85.77
15ND20-3		99.29	86.07	99.30	86.29	99.29	86.13	99.30	86.25
15ND20-4		99.28	85.87	99.29	86.15	99.27	85.75	99.27	85.81
15NE8-4		99.28	85.83	99.29	86.11	99.27	85.75	99.27	85.75
15NE8-5		99.29	86.05	99.30	86.25	99.28	85.96	99.28	85.94
15NE9-1		99.30	86.32	99.32	86.63	99.30	86.31	99.31	86.54
15NE9-3		99.31	86.42	99.32	86.74	99.31	86.41	99.32	86.63
15OH12-3		99.31	86.53	99.33	86.80	99.31	86.43	99.33	86.87
15SD11-1		99.29	86.12	99.30	86.27	99.30	86.19	99.28	85.99
15SD11-2		99.32	86.69	99.35	87.14	99.33	86.75	99.34	86.94
15SD30-1		99.30	86.22	99.31	86.53	99.30	86.22	99.31	86.47
15SD30-3		99.30	86.28	99.32	86.62	99.30	86.30	99.31	86.55
15TX3-1		99.30	86.33	99.32	86.65	99.30	86.35	99.31	86.54
16IL75-3		99.36	87.31	99.38	87.73	99.36	87.40	99.36	87.46
16MN100-2		99.28	85.98	99.31	86.39	99.29	86.09	99.28	85.98
16MN101-1		99.32	86.58	99.34	86.97	99.32	86.70	99.30	86.30
16MN102-1		99.29	86.07	99.31	86.41	99.29	86.09	99.30	86.33
16MN102-3		99.29	86.02	99.30	86.21	99.28	85.99	99.30	86.22
16MN105-1		99.26	85.48	99.28	85.90	99.25	85.46	99.27	85.75
16MN106-3		99.28	85.98	99.31	86.45	99.28	85.98	99.30	86.25
16MN107-1		99.31	86.39	99.32	86.58	99.30	86.38	99.33	86.90
16MN107-3		99.26	85.51	99.28	85.92	99.25	85.43	99.28	85.91
16MN110-1		99.29	86.05	99.31	86.45	99.29	86.01	99.30	86.34
16MN110-2		99.29	86.15	99.31	86.55	99.29	86.11	99.31	86.45
16MN118-2		99.27	85.66	99.29	86.06	99.26	85.64	99.28	85.86
16MN119-1		99.27	85.82	99.30	86.33	99.27	85.83	99.29	86.09
16MN121-2		99.30	86.30	99.32	86.70	99.30	86.36	99.33	86.87
16MN84-1		99.30	86.37	99.31	86.44	99.30	86.30	99.31	86.43
16MN85-1		99.33	86.78	99.34	87.09	99.33	86.88	99.34	87.04
16MN88-3		99.30	86.21	99.31	86.54	99.29	86.10	99.29	86.16
16MN90-2		99.28	85.86	99.30	86.28	99.28	85.93	99.30	86.25
16MN93-1		99.36	87.33	99.38	87.68	99.36	87.32	99.37	87.50
16MN93-2		99.30	86.33	99.32	86.57	99.30	86.27	99.31	86.50
16MN94-1		99.32	86.61	99.34	87.00	99.32	86.65	99.33	86.89
16MN94-2		99.36	87.42	99.38	87.80	99.36	87.41	99.38	87.78
16MN98-2		99.25	85.31	99.27	85.68	99.25	85.31	99.26	85.50
16MN98-3		99.29	86.02	99.31	86.40	99.29	86.10	99.28	85.94
16MN99-1		99.28	85.98	99.31	86.47	99.29	86.13	99.31	86.44
16MN99-2		99.29	86.08	99.30	86.35	99.29	86.03	99.31	86.45
16MN99-3		99.24	85.16	99.26	85.58	99.24	85.17	99.28	85.97
16SD69-1		99.30	86.33	99.33	86.77	99.31	86.47	99.32	86.74
16SD74-2		99.31	86.45	99.33	86.77	99.31	86.43	99.32	86.59
16WI76-1		99.30	86.32	99.32	86.72	99.31	86.40	99.31	86.52
17AR69-3		99.34	86.99	99.36	87.44	99.34	87.07	99.35	87.22
17FL20-1		99.31	86.38	99.33	86.79	99.31	86.42	99.32	86.67
17FL20-2		99.30	86.36	99.33	86.75	99.31	86.40	99.32	86.65
17FL20-3		99.30	86.25	99.32	86.60	99.30	86.27	99.31	86.53
17FL21-2		99.33	86.81	99.34	87.09	99.32	86.72	99.35	87.17
17FL22-2		99.33	86.76	99.34	87.08	99.32	86.67	99.35	87.15
17FL23-1		99.33	86.76	99.34	87.07	99.32	86.63	99.35	87.12
17FL23-2		99.32	86.72	99.34	87.04	99.32	86.63	99.35	87.13
17FL26-3		99.32	86.67	99.34	86.96	99.32	86.56	99.34	87.07
17IA105-1		99.36	87.34	99.38	87.70	99.36	87.39	99.37	87.52
17IA106-3		99.32	86.63	99.33	86.87	99.32	86.58	99.33	86.85
17IA108-2		99.29	86.13	99.31	86.40	99.29	86.12	99.30	86.25
17IA111-3		99.31	86.51	99.32	86.70	99.31	86.45	99.31	86.38
17IA116-1		99.30	86.30	99.33	86.76	99.30	86.35	99.32	86.58
17IL75-3		99.30	86.34	99.33	86.87	99.31	86.53	99.31	86.40
17IL76-1		99.31	86.38	99.33	86.76	99.30	86.35	99.31	86.54
17LA48-2		99.35	87.22	99.37	87.59	99.35	87.23	99.36	87.47
17LA49-3		99.33	86.79	99.35	87.16	99.33	86.75	99.33	86.91
17LA67-2		99.31	86.49	99.33	86.82	99.31	86.51	99.32	86.74
17MN145-1		99.31	86.55	99.33	86.77	99.31	86.53	99.31	86.55
17MN145-2		99.31	86.46	99.32	86.67	99.31	86.43	99.31	86.44
17MN146-1		99.30	86.29	99.33	86.83	99.30	86.29	99.32	86.66
17MN146-2		99.29	86.18	99.32	86.74	99.29	86.19	99.31	86.52
17MN150-1		99.33	86.76	99.34	87.00	99.32	86.69	99.33	86.74
17MN150-2		99.32	86.72	99.34	86.94	99.32	86.66	99.32	86.66
17MN78-2		99.32	86.58	99.33	86.78	99.32	86.58	99.32	86.63
17MNBT-10		99.31	86.46	99.33	86.89	99.31	86.51	99.33	86.82
17MNBT-11		99.31	86.38	99.33	86.75	99.31	86.40	99.33	86.89
17MNBT-12		99.31	86.43	99.33	86.86	99.31	86.43	99.31	86.54
17MNBT-13		99.30	86.33	99.32	86.70	99.31	86.39	99.32	86.68
17MNBT-14		99.30	86.34	99.33	86.84	99.31	86.40	99.32	86.58
17MNBT-15		99.27	85.82	99.29	86.16	99.27	85.78	99.29	86.10
17MNBT-16		99.29	86.09	99.32	86.58	99.29	86.14	99.31	86.54
17MNBT-17		99.33	86.76	99.34	86.98	99.33	86.77	99.33	86.82
17MNBT-18		99.28	86.01	99.30	86.37	99.29	86.06	99.30	86.35
17MNBT-19		99.28	85.88	99.30	86.29	99.28	85.99	99.29	86.11
17MNBT-2		99.30	86.25	99.31	86.53	99.30	86.27	99.32	86.71
17MNBT-20		99.34	87.09	99.37	87.60	99.34	87.09	99.36	87.46
17MNBT-21		99.29	86.11	99.31	86.50	99.30	86.22	99.31	86.42
17MNBT-23		99.29	86.02	99.31	86.38	99.28	85.96	99.28	85.84
17MNBT-24		99.29	86.13	99.31	86.41	99.29	86.13	99.32	86.61
17MNBT-3		99.31	86.48	99.33	86.90	99.32	86.57	99.33	86.84
17MNBT-4		99.29	86.17	99.32	86.56	99.30	86.19	99.31	86.50
17MNBT-5		99.32	86.69	99.33	86.77	99.31	86.55	99.34	87.01
17MNBT-6		99.30	86.34	99.32	86.62	99.31	86.40	99.30	86.33
17MNBT-7		99.29	86.05	99.32	86.67	99.29	86.17	99.32	86.57
17MNBT-8		99.27	85.82	99.29	86.17	99.27	85.77	99.29	86.10
17MNBT-9		99.30	86.24	99.32	86.72	99.30	86.31	99.31	86.42
17MS65-1		99.30	86.30	99.32	86.66	99.30	86.26	99.31	86.45
17MS65-3		99.30	86.34	99.32	86.71	99.30	86.30	99.31	86.49
17SD126-1		99.30	86.29	99.32	86.65	99.30	86.22	99.30	86.36
17SD126-2		99.32	86.74	99.35	87.16	99.33	86.79	99.34	87.05
17SD126-3		99.29	86.01	99.30	86.31	99.29	86.07	99.29	86.06
17SD129-3		99.30	86.35	99.32	86.69	99.31	86.42	99.33	86.76
17SD132-1		99.28	85.87	99.31	86.41	99.29	86.03	99.28	85.94
17SD133-2		99.28	85.90	99.30	86.21	99.29	86.03	99.29	86.03
17SD80-2		99.37	87.60	99.39	88.00	99.37	87.60	99.39	87.89
17TX1-2		99.30	86.33	99.32	86.71	99.30	86.25	99.31	86.52
17TX62-3		99.32	86.65	99.34	86.98	99.33	86.78	99.33	86.76
17TX9-2		99.35	87.21	99.37	87.49	99.35	87.22	99.37	87.53
18MNBT-37		99.36	87.32	99.37	87.56	99.35	87.21	99.37	87.50
18MNBT-38		99.31	86.38	99.33	86.74	99.30	86.33	99.31	86.50
18MNBT-39		99.27	85.66	99.28	85.97	99.27	85.72	99.27	85.74
18MNBT-41		99.31	86.46	99.32	86.74	99.31	86.46	99.31	86.52
18MNBT-42		99.27	85.70	99.28	85.99	99.27	85.67	99.28	85.88
18MNBT-43		99.39	87.91	99.41	88.24	99.39	87.89	99.40	88.22
18MNBT-44		99.30	86.21	99.31	86.52	99.29	86.16	99.30	86.32
18MNBT-45		99.49	89.73	99.49	89.77	99.48	89.62	99.48	89.68
18MNBT-46		99.31	86.42	99.32	86.65	99.31	86.46	99.31	86.49
18MNBT-47		99.31	86.56	99.33	86.81	99.31	86.56	99.32	86.73
18MNBT-49		99.30	86.21	99.31	86.41	99.29	86.18	99.30	86.26
18MNBT-51		99.29	86.02	99.30	86.28	99.28	85.96	99.30	86.25
18MNBT-52		99.33	86.88	99.36	87.37	99.34	86.96	99.35	87.17
18MNBT-53		99.30	86.24	99.32	86.57	99.30	86.30	99.31	86.47
18MNBT-54		99.29	86.07	99.30	86.32	99.28	85.94	99.30	86.34
18MNBT-55		99.28	85.92	99.29	86.15	99.28	85.91	99.29	86.14
18MNBT-56		99.25	85.46	99.28	85.99	99.26	85.51	99.27	85.74
18MNBT-57		99.29	86.11	99.30	86.32	99.29	86.11	99.29	86.07
18MNBT-58		99.28	85.95	99.31	86.55	99.29	86.10	99.29	86.18
90GA16-1		99.67	93.31	99.68	93.44	99.67	93.38	99.70	93.90
90LA38-1		99.68	93.42	99.67	93.38	99.68	93.39	99.70	93.96
90MN137-1		99.33	86.75	99.33	86.91	99.33	86.77	99.33	86.80
90MN13B-3		99.34	87.09	99.37	87.57	99.35	87.13	99.34	87.04
90MN148-1		99.34	87.01	99.35	87.26	99.34	86.96	99.34	87.10
90MN17B-1		99.37	87.53	99.39	87.87	99.37	87.56	99.39	87.88
90MN1B-1		99.34	86.97	99.36	87.41	99.35	87.12	99.36	87.33
90MN2B-1		99.34	87.01	99.36	87.39	99.35	87.12	99.36	87.34
90MN5B-1		99.69	93.63	99.68	93.43	99.69	93.64	99.78	95.48
90MN8B-2		99.33	86.79	99.36	87.29	99.33	86.83	99.33	86.77
90MN9B-4		99.66	93.17	99.67	93.29	99.67	93.23	99.69	93.78
90PA162-1		99.35	87.29	99.37	87.50	99.35	87.21	99.36	87.36
90SD164-1		99.67	93.38	99.67	93.32	99.67	93.38	99.70	93.90
90SD171-1		99.36	87.41	99.38	87.73	99.36	87.44	99.38	87.77
90SD172-1		99.68	93.45	99.68	93.45	99.68	93.47	99.71	94.00
90TX45-1		99.29	86.14	99.30	86.24	99.29	86.06	99.30	86.29
90TX47-1		99.34	87.04	99.37	87.51	99.34	87.05	99.34	87.00
90TX70-1		99.69	93.73	99.70	93.80	99.69	93.76	99.72	94.26
90WI131-1		99.36	87.33	99.37	87.59	99.35	87.26	99.36	87.29
90WI132-1		99.33	86.76	99.34	87.08	99.32	86.71	99.34	87.10
PCA16-15-1-1		99.71	94.12	99.73	94.41	99.72	94.20	99.77	95.19
Pca2016-10-1		99.67	93.24	99.66	93.09	99.67	93.26	99.75	94.96
Pca2016-1-1		99.67	93.31	99.66	93.16	99.67	93.31	99.76	95.04
Pca2016-13-1		99.68	93.45	99.67	93.31	99.68	93.45	99.76	95.15
Pca2016-15-1		99.68	93.56	99.70	93.85	99.69	93.66	99.73	94.57
Pca2016-16-1		99.67	93.26	99.66	93.11	99.67	93.26	99.76	95.01
Pca2016-2-1		99.67	93.30	99.66	93.15	99.67	93.31	99.76	95.03
Pca2016-3-2		99.67	93.20	99.66	93.04	99.67	93.22	99.75	94.97
Pca2016-6-2		99.67	93.27	99.66	93.13	99.67	93.29	99.76	95.04
Pca2016-8-1		99.67	93.34	99.66	93.17	99.67	93.34	99.76	95.04
Pca2016-9-2		99.67	93.26	99.66	93.13	99.67	93.27	99.76	95.01
Pca43-1		99.68	93.39	99.67	93.23	99.67	93.38	99.76	95.09
Pca56-3		99.67	93.36	99.66	93.19	99.67	93.34	99.76	95.05
Pca57-4		99.67	93.32	99.66	93.12	99.67	93.33	99.76	95.05
Pca58-3		99.67	93.34	99.66	93.18	99.67	93.36	99.76	95.07
Pca59-6		99.67	93.30	99.66	93.11	99.67	93.29	99.76	95.02
Pca60-7		99.67	93.35	99.66	93.19	99.67	93.33	99.76	95.04
Pca61-8		99.67	93.28	99.66	93.13	99.67	93.29	99.76	95.02
Pca62-9		99.67	93.38	99.66	93.18	99.67	93.36	99.76	95.07
Pca65-12		99.68	93.39	99.67	93.30	99.68	93.40	99.76	95.14
Pca70-17		99.67	93.29	99.66	93.12	99.67	93.28	99.76	95.00
Pca70-2		99.67	93.25	99.66	93.10	99.67	93.25	99.76	95.02
Pca73-20		99.67	93.28	99.66	93.13	99.67	93.29	99.76	95.04
Pca77-46		99.76	95.12	99.77	95.32	99.76	95.17	99.82	96.37
PCA84-1-1		99.67	93.31	99.66	93.14	99.67	93.32	99.76	95.01
