isolate	haplotype	interest	ident	contain
22VIC117	hap14	N	99.85	96.94
22SA132	hap14	N	99.76	95.06
22VIC126	hap14	N	99.86	97.16
22VIC128	hap14	N	99.76	95.13
22NSW80	hap14	N	99.76	95.03
22NSW81	hap14	N	99.78	95.48
22NSW101	hap14	N	99.74	94.66
22NSW102	hap14	N	99.74	94.71
22NSW105	hap14	N	99.75	94.82
22NSW106	hap14	N	99.75	94.83
22NSW108	hap14	N	99.75	94.79
22NSW109	hap14	N	99.74	94.72
22VIC130	hap14	N	99.74	94.75
23WA07	hap14	N	99.81	96.10
23VIC09	hap14	N	99.77	95.29
23WA20	hap14	N	99.77	95.24
23WA43	hap14	N	99.79	95.70
20ACT40	hap14	N	99.73	94.55
20ACT80	hap14	N	99.74	94.60
21ACT105	hap14	N	99.83	96.41
21ACT116	hap14	N	99.77	95.25
21NSW142	hap14	N	99.74	94.62
23NSW13	hap14	N	99.76	95.17
22WA50	hap14	N	99.78	95.48
22WA51	hap14	N	99.76	95.11
22QLD111	hap14	N	99.78	95.53
22QLD112	hap14	N	99.74	94.65
TW-19061	hap14	N	99.83	96.54
TW-NTU01	hap14	N	99.83	96.56
TW-NTU03	hap14	N	99.84	96.60
TW-NTU04	hap14	N	99.83	96.55
TW-SW01	hap14	N	99.83	96.55
20WA71	hap14	N	99.72	94.30
20WA72	hap14	N	99.69	93.69
20WA93	hap14	N	99.68	93.41
20WA95	hap14	N	99.69	93.69
21WA136	hap14	N	99.68	93.58
21WA137	hap14	N	99.68	93.54
22WA25	hap14	N	99.73	94.48
22WA34	hap14	N	99.79	95.59
23SA24	hap14	N	99.72	94.23
23SA31	hap14	N	99.72	94.29
90AR100-1	hap14	N	99.68	93.48
90MN14B-1	hap14	N	99.36	87.40
90MN7B-1	hap14	N	99.36	87.43
90KS101-1	hap14	1	100.00	99.98
90MN153-1	hap14	1	100.00	99.99
90MN3B-1	hap14	1	100.00	99.93
90TX52-1	hap14	1	100.00	99.99
90TX58-1	hap14	1	100.00	99.99
17FL16-1	hap14	2	100.00	99.91
17LA50-2	hap14	2	100.00	99.92
17LA50-3	hap14	2	100.00	99.90
17TX12-3	hap14	2	100.00	99.90
17TX15-3	hap14	2	100.00	99.91
17TX44-3	hap14	2	100.00	99.92
17TX59-2	hap14	2	100.00	99.91
18MNBT-34	hap14	N	99.34	87.01
18MNBT-36	hap14	N	99.37	87.51
18MNBT-50	hap14	N	99.34	87.03
20WA73	hap14	N	99.75	94.86
20WA94	hap14	N	99.76	95.11
22WA31	hap14	N	99.77	95.37
22WA30	hap14	N	99.76	95.04
22WA09	hap14	N	99.78	95.54
22WA86	hap14	N	99.77	95.32
22WA88	hap14	N	99.80	95.97
22WA89	hap14	N	99.79	95.63
22WA64	hap14	N	99.75	94.96
23VIC51	hap14	N	99.82	96.32
23NSW54	hap14	N	99.77	95.26
21WA134	hap14	N	99.76	95.05
22WA15	hap14	N	99.70	93.85
22WA28	hap14	N	99.69	93.73
22WA33	hap14	N	99.75	94.83
22WA56	hap14	N	99.68	93.51
22WA57	hap14	N	99.70	93.84
22WA58	hap14	N	99.68	93.54
20WA89	hap14	N	99.74	94.65
21WA139	hap14	N	99.69	93.76
12NC29	hap14	N	99.86	97.13
12SD80	hap14	N	99.38	87.72
15FL1-2	hap14	N	99.32	86.65
15FL1-4	hap14	N	99.35	87.11
15MN10-4	hap14	N	99.34	87.01
15MN10-5	hap14	N	99.33	86.91
15MN13-4	hap14	N	99.30	86.36
15MN14-4	hap14	N	99.33	86.92
15MN16-3	hap14	N	99.32	86.73
15MN17-5	hap14	N	99.32	86.68
15MN18-1	hap14	N	99.31	86.38
15MN18-3	hap14	N	99.33	86.85
15MN23-1	hap14	N	99.31	86.48
15MN24-1	hap14	N	99.31	86.49
15MN25-3	hap14	N	99.34	87.10
15MN27-3	hap14	N	99.31	86.44
15MS7-1	hap14	N	99.32	86.65
15ND19-5	hap14	N	99.31	86.52
15ND20-3	hap14	N	99.30	86.33
15ND20-4	hap14	N	99.31	86.55
15NE8-4	hap14	N	99.29	86.03
15NE8-5	hap14	N	99.30	86.24
15NE9-1	hap14	N	99.32	86.71
15NE9-3	hap14	N	99.33	86.76
15OH12-3	hap14	N	99.34	86.99
15SD11-1	hap14	N	99.31	86.40
15SD11-2	hap14	N	99.35	87.14
15SD30-1	hap14	N	99.32	86.66
15SD30-3	hap14	N	99.32	86.67
15TX3-1	hap14	N	99.32	86.72
16IL75-3	hap14	N	99.39	87.90
16MN100-2	hap14	N	99.31	86.38
16MN101-1	hap14	N	99.33	86.80
16MN102-1	hap14	N	99.32	86.71
16MN102-3	hap14	N	99.32	86.58
16MN105-1	hap14	N	99.29	86.08
16MN106-3	hap14	N	99.31	86.53
16MN107-1	hap14	N	99.34	87.07
16MN107-3	hap14	N	99.30	86.25
16MN110-1	hap14	N	99.32	86.62
16MN110-2	hap14	N	99.32	86.73
16MN118-2	hap14	N	99.30	86.26
16MN119-1	hap14	N	99.31	86.49
16MN121-2	hap14	N	99.34	86.96
16MN84-1	hap14	N	99.33	86.83
16MN85-1	hap14	N	99.36	87.36
16MN88-3	hap14	N	99.33	86.86
16MN90-2	hap14	N	99.31	86.49
16MN93-1	hap14	N	99.39	87.97
16MN93-2	hap14	N	99.33	86.84
16MN94-1	hap14	N	99.35	87.23
16MN94-2	hap14	N	99.41	88.24
16MN98-2	hap14	N	99.27	85.70
16MN98-3	hap14	N	99.31	86.44
16MN99-1	hap14	N	99.33	86.85
16MN99-2	hap14	N	99.32	86.62
16MN99-3	hap14	N	99.28	85.95
16SD69-1	hap14	N	99.34	86.99
16SD74-2	hap14	N	99.34	87.08
16WI76-1	hap14	N	99.32	86.63
17AR69-3	hap14	N	99.38	87.79
17FL20-1	hap14	N	99.33	86.82
17FL20-2	hap14	N	99.33	86.80
17FL20-3	hap14	N	99.32	86.69
17FL21-2	hap14	N	99.37	87.49
17FL22-2	hap14	N	99.37	87.59
17FL23-1	hap14	N	99.36	87.48
17FL23-2	hap14	N	99.36	87.48
17FL26-3	hap14	N	99.36	87.39
17IA105-1	hap14	N	99.39	88.00
17IA106-3	hap14	N	99.35	87.23
17IA108-2	hap14	N	99.31	86.47
17IA111-3	hap14	N	99.33	86.81
17IA116-1	hap14	N	99.34	87.07
17IL75-3	hap14	N	99.33	86.90
17IL76-1	hap14	N	99.33	86.76
17LA48-2	hap14	N	99.37	87.59
17LA49-3	hap14	N	99.35	87.16
17LA67-2	hap14	N	99.33	86.90
17MN145-1	hap14	N	99.35	87.19
17MN145-2	hap14	N	99.34	87.05
17MN146-1	hap14	N	99.33	86.87
17MN146-2	hap14	N	99.33	86.79
17MN150-1	hap14	N	99.34	87.04
17MN150-2	hap14	N	99.34	86.97
17MN78-2	hap14	N	99.34	87.10
17MNBT-10	hap14	N	99.36	87.33
17MNBT-11	hap14	N	99.35	87.20
17MNBT-12	hap14	N	99.35	87.28
17MNBT-13	hap14	N	99.33	86.78
17MNBT-14	hap14	N	99.34	86.99
17MNBT-15	hap14	N	99.32	86.66
17MNBT-16	hap14	N	99.34	86.94
17MNBT-17	hap14	N	99.35	87.27
17MNBT-18	hap14	N	99.31	86.46
17MNBT-19	hap14	N	99.31	86.44
17MNBT-20	hap14	N	99.38	87.68
17MNBT-21	hap14	N	99.34	86.98
17MNBT-23	hap14	N	99.31	86.43
17MNBT-24	hap14	N	99.33	86.82
17MNBT-2	hap14	N	99.33	86.91
17MNBT-3	hap14	N	99.35	87.15
17MNBT-4	hap14	N	99.31	86.51
17MNBT-5	hap14	N	99.35	87.15
17MNBT-6	hap14	N	99.33	86.79
17MNBT-7	hap14	N	99.32	86.70
17MNBT-8	hap14	N	99.32	86.64
17MNBT-9	hap14	N	99.34	87.01
17MS65-1	hap14	N	99.32	86.68
17MS65-3	hap14	N	99.32	86.70
17SD126-1	hap14	N	99.32	86.69
17SD126-2	hap14	N	99.35	87.26
17SD126-3	hap14	N	99.31	86.38
17SD129-3	hap14	N	99.33	86.84
17SD132-1	hap14	N	99.31	86.44
17SD133-2	hap14	N	99.30	86.28
17SD80-2	hap14	N	99.42	88.53
17TX1-2	hap14	N	99.32	86.73
17TX62-3	hap14	N	99.35	87.15
17TX9-2	hap14	N	99.42	88.46
18MNBT-37	hap14	N	99.39	88.00
18MNBT-38	hap14	N	99.34	86.96
18MNBT-39	hap14	N	99.29	86.17
18MNBT-41	hap14	N	99.33	86.91
18MNBT-42	hap14	N	99.29	86.17
18MNBT-43	hap14	N	99.43	88.66
18MNBT-44	hap14	N	99.32	86.73
18MNBT-45	hap14	N	99.51	90.26
18MNBT-46	hap14	N	99.33	86.80
18MNBT-47	hap14	N	99.35	87.20
18MNBT-49	hap14	N	99.32	86.74
18MNBT-51	hap14	N	99.30	86.33
18MNBT-52	hap14	N	99.37	87.65
18MNBT-53	hap14	N	99.33	86.77
18MNBT-54	hap14	N	99.32	86.63
18MNBT-55	hap14	N	99.31	86.48
18MNBT-56	hap14	N	99.29	86.02
18MNBT-57	hap14	N	99.32	86.58
18MNBT-58	hap14	N	99.33	86.75
90GA16-1	hap14	N	99.83	96.59
90LA38-1	hap14	N	99.86	97.04
90MN137-1	hap14	N	99.37	87.48
90MN13B-3	hap14	N	99.37	87.60
90MN148-1	hap14	N	99.37	87.49
90MN17B-1	hap14	N	99.40	88.22
90MN1B-1	hap14	N	99.36	87.33
90MN2B-1	hap14	N	99.36	87.32
90MN5B-1	hap14	N	99.76	95.03
90MN8B-2	hap14	N	99.35	87.26
90MN9B-4	hap14	N	99.83	96.43
90PA162-1	hap14	N	99.38	87.69
90SD164-1	hap14	N	99.86	97.01
90SD171-1	hap14	N	99.40	88.12
90SD172-1	hap14	N	99.86	97.05
90TX45-1	hap14	N	99.33	86.85
90TX47-1	hap14	N	99.37	87.55
90TX70-1	hap14	N	99.84	96.76
90WI131-1	hap14	N	99.39	87.88
90WI132-1	hap14	N	99.36	87.48
PCA16-15-1-1	hap14	N	99.77	95.35
Pca2016-10-1	hap14	N	99.73	94.46
Pca2016-1-1	hap14	N	99.73	94.53
Pca2016-13-1	hap14	N	99.74	94.67
Pca2016-15-1	hap14	N	99.75	94.80
Pca2016-16-1	hap14	N	99.73	94.49
Pca2016-2-1	hap14	N	99.73	94.49
Pca2016-3-2	hap14	N	99.73	94.47
Pca2016-6-2	hap14	N	99.73	94.50
Pca2016-8-1	hap14	N	99.73	94.56
Pca2016-9-2	hap14	N	99.73	94.49
Pca43-1	hap14	N	99.74	94.61
Pca56-3	hap14	N	99.73	94.55
Pca57-4	hap14	N	99.73	94.49
Pca58-3	hap14	N	99.73	94.53
Pca59-6	hap14	N	99.73	94.50
